ne, 4 | -1, 1, 17
ns, 2 | -1, 1, 17
ne, 8 | -1, 1, 16
ne, 3 | -1, 1, 18
ne, 18 | -1, 1, 19
ne, 23 | -1, 1, 20
ne, 15 | -1, 1, 21
ne, 36 | -1, 1, 22
ne, 41 | -1, 1, 23
rls, | -1, 1, 23
ne, 44 | -1, 1, 24
ne, 33 | -1, 1, 25
rls, | -1, 1, 25
ne, 29 | -1, 1, 26
ne, 14 | -1, 1, 27
ne, 68 | -1, 1, 28
ne, 7 | -1, 2, 17
rls, | -1, 2, 17
ne, 2 | -1, 2, 16
ns, 16 | -1, 2, 16
rls, | -1, 2, 16
ne, 33 | -1, 2, 18
rls, | -1, 2, 18
ne, 19 | -1, 2, 19
rls, | -1, 2, 19
ne, 24 | -1, 2, 20
ne, 3 | -1, 2, 21
ne, 38 | -1, 2, 22
rls, | -1, 2, 22
ne, 42 | -1, 2, 23
ne, 51 | -1, 2, 24
rls, | -1, 2, 24
ne, 57 | -1, 2, 25
rls, | -1, 2, 25
ne, 64 | -1, 2, 26
rls, | -1, 2, 26
ne, 38 | -1, 2, 27
rls, | -1, 2, 27
ne, 69 | -1, 2, 28
rls, | -1, 2, 28
ne, 5 | -1, 3, 17
rls, | -1, 3, 17
ne, 6 | -1, 3, 16
ne, 9 | -1, 3, 18
ne, 20 | -1, 3, 19
ne, 25 | -1, 3, 20
ne, 30 | -1, 3, 21
ne, 9 | -1, 3, 22
ne, 43 | -1, 3, 23
ne, 52 | -1, 3, 24
ne, 53 | -1, 3, 25
ne, 9 | -1, 3, 26
ne, 66 | -1, 3, 27
rls, | -1, 3, 27
ns, 16 | -1, 3, 27
ne, 70 | -1, 3, 28
ne, 21 | -1, 4, 17
ne, 22 | -1, 4, 16
ne, 29 | -1, 4, 18
ne, 37 | -1, 4, 19
ne, 27 | -1, 4, 20
ns, 20 | -1, 4, 20
ne, 29 | -1, 4, 21
ne, 39 | -1, 4, 22
ne, 46 | -1, 4, 23
ne, 50 | -1, 4, 24
ne, 55 | -1, 4, 25
ne, 65 | -1, 4, 26
ne, 67 | -1, 4, 27
ne, 71 | -1, 4, 28
ns, 20 | -1, 4, 28
rls, | -1, 4, 28
ne, 15 | 1, 1, 16
ne, 13 | 2, 2, 17
rls, | 2, 2, 17
ne, 26 | 4, 4, 21
ne, 108 | 20, 3, 24
ne, 109 | 6, 3, 23
ns, 16 | 6, 3, 23
ne, 110 | 7, 4, 22
rls, | 7, 4, 22
ne, 111 | 8, 1, 25
ne, 112 | 9, 2, 22
ne, 113 | 10, 1, 21
ne, 114 | 11, 2, 26
ne, 56 | 12, 3, 25
ne, 115 | 13, 4, 24
ne, 116 | 14, 1, 28
rls, | 14, 1, 28
ne, 117 | 15, 3, 16
ne, 118 | 3, 2, 19
ne, 119 | 16, 1, 25
rls, | 16, 1, 25
ne, 120 | 20, -1, 20
rls, | 20, -1, 20
ne, 121 | 16, -1, 16
rls, | 16, -1, 16
